Company Name,Industry,Email,Phone,Source Method,Status,Lead Magnet Sent,Contact Person,Contact Title,Notes
Agri-Connect Hub,Agriculture,,,Cold Outreach,New,No,,,Call: Incorrect Number
44 Nigerian Army Reference Hospital Kaduna,Healthcare,,,Cold Outreach,New,No,,,Call: Incorrect Number
Auto SPA Ltd,Automobile,info@autospa.ng,8096999998,Cold Email,Contacted,Yes,,,Call: Called
9-Beji Automobile Nigeria,Automobile,bejiautomobilenig@gmail.com,8061598788,Cold Email,Contacted,Yes,,,Call: Called
Automedics Limited,Automobile,info@automedicsafrica.com,8060895618,Cold Email,Contacted,Yes,,,Call: Called; call back - meeting  still needs to proceed
Alh Abdulrazak Abdulrauf Motors Nig. Ltd,Automobile,maryam.olorire@yahoo.com,8023210741,Cold Email,Contacted,Yes,,,
K-Cool Resources Nigeria Ltd,Automobile,radiomech88@gmail.com,9026247488,Cold Email,Contacted,Yes,,,
Creative Auto Technologies Ltd,Automobile,creativeautotechnologies@gmail.com,8035959513,Cold Email,Contacted,Yes,,,Call: Called
Rainance Automobile Ltd,Automobile,rainance.automobile@yahoo.com,8029108945,Cold Email,Contacted,Yes,,,
CarFix Vehicle Repairs,Automobile,hello@carfix.ng,7018999924,Cold Email,Contacted,Yes,,,
http://mechanics.ng/,Automobile,help@mechanics.ng,0909 561 7002,Cold Outreach,New,No,,,Incorrect Email; Call: Not Available
Annapolis Auto Centre,Automobile,info@annapolisautocentre.com,8101883300,Cold Email,Contacted,Yes,,,Call: Called
9-Auto Rolling Right Ltd,Automobile,autorollingright@gmail.com,7033643670,Cold Email,Contacted,Yes,,,Call: Called; wednesday meeting for 10 m- yes -callbacks
Car Craft Workshop Ltd,Automobile,info@carcraftworkshop.com,8130341474,Cold Outreach,Contacted,No,,,Incorrect Email; Call: Called
Saffar Automobile Nigeria Ltd,Automobile,saffarautomobile@gmail.com,8068960123,Cold Email,Contacted,Yes,,,Call: Not Available
9-Al-Mansur Motors Ltd,Automobile,manirmb@yahoo.com,8032842700,Cold Email,Contacted,Yes,,,Call: Called; said i should call back-monsoor
MNL ASAO Motors Ltd,Automobile,mnlasaomotors@gmail.com,8039207783,Cold Email,Contacted,Yes,,,Call: Not Available
ASD Motors Ltd,Automobile,saidudalhatu@yahoo.co.uk,8033112056,Cold Email,Contacted,Yes,,,Call: Called; line didnt go through
Kaura Motors Ltd,Automobile,info@kauralimited.com,8034040174,Cold Email,Contacted,Yes,,,Call: Called
NGS Auto Clinic Centre Ltd,Automobile,info@ngsautoclinic.com.ng,07037110944,Cold Email,Contacted,Yes,,,Call: Called; cynthia -friday 11am
Patemax Projects Limited,Construction,info@patemaxprojects.com,0806 777 1905,Cold Outreach,New,No,,,
Nigerian Content Development and Monitoring Board (NCDMB),MDA,tahir.aminu@ncdmb.gov.ng,,Cold Email,Contacted,Yes,,,Call: Called
https://www.google.com/search?q=National+Drug+Law+Enforcement+Agency&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAD,MDA,info@ndleahelpline.com.ng,,Cold Email,Contacted,Yes,,,Incorrect Email
https://www.google.com/search?q=Nigeria+Customs+Service&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAF (NCS),MDA,mmi@customs.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Nigerian+Communications+Commission&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAH,MDA,jnwachukwu@ncc.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Nigerian+Ports+Authority&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAJ (NPA),MDA,helpdesk@nigerianports.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=National+Information+Technology+Development+Agency&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAL (NITDA)YES,MDA,in%66%6f%40ni%74da%2e%67o%76.%6eg,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Nigeria+Immigration+Service&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAP (NIS),MDA,stacey@immigration.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Corporate+Affairs+Commission&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAT (CAC),MDA,hmagaji@cac.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Ministry+of+Finance&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAB & https://www.google.com/search?q=Budget+Ministry&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAC,MDA,omolara.ogunbiyi@finance.gov.ng,,Cold Email,Contacted,Yes,,,
https://www.google.com/search?q=Federal+Ministry+of+Health+and+Social+Welfare&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIBRAI,MDA,hfr@health.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Capital Territory Administration,MDA,contactfcta@fcta.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Ministry of Justice,MDA,musa.kadiri@justice.gov.ng,,Cold Email,Contacted,Yes,,,
"Federal Ministry of Lands, Housing and Urban Development",MDA,dpo@fmhud.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Road Safety Corps,MDA,eyong@frsc.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Ministry of Tourism,MDA,info@fmacce.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Ministry of Youth Development,MDA,cynthia.obi@fmyd.gov.ng,,Cold Email,Contacted,Yes,,,
Independent National Electoral Commission,MDA,iccc@inec.gov.ng,,Cold Email,Contacted,Yes,,,
National Pension Commission,MDA,imohammed@pencom.gov.ng,,Cold Email,Contacted,Yes,,,
NAPTIP,MDA,angela@naptip.gov.ng,,Cold Email,Contacted,Yes,,,
National Orientation Agency,MDA,admin@noa.gov.ng,,Cold Email,Contacted,Yes,,,
National Youth Service Corps,MDA,awololaolukemi@nysc.gov.ng,,Cold Email,Contacted,Yes,,,
Nigerian electricity Regulation Commission,MDA,michael.faloseyi@nerc.gov.ng,,Cold Email,Contacted,Yes,,,
Nigeria Institute of Transport technology (NITT),MDA,abuja@nitt.gov.ng,,Cold Email,Contacted,Yes,,,
Office of the Accountant General of the Federation,MDA,info@oagf.gov.ng,,Cold Email,Contacted,Yes,,,
"Federal Ministry of Industry, Trade and Investment",MDA,ahmed.mamuda@fmiti.gov.ng,,Cold Email,Contacted,Yes,,,
Federal Airport Authority of Nigeria,MDA,christina.apagu@faan.gov.ng,,Cold Email,Contacted,Yes,,,
Nigeria Security and Civil Defence Corps,MDA,olanrewajua@nscdc.gov.ng,,Cold Email,Contacted,Yes,,,
National Population Commission,MDA,nasir@nationalpopulation.gov.ng,,Cold Email,Contacted,Yes,,,
Central bank of Nigeria,MDA,aihaza@cbn.gov.ng,,Cold Email,Contacted,Yes,,,
Legal Aid Council,MDA,info@legalaidcouncil.gov.ng,,Cold Email,Contacted,Yes,,,
Joint Admission and Matriculation Board,MDA,abdulsalammuhammad@jamb.gov.ng,,Cold Email,Contacted,Yes,,,
Nigeria Airspace Management Agency,MDA,agbem@nama.gov.ng,,Cold Email,Contacted,Yes,,,
National Human Right Commission,MDA,info@nigeriarights.gov.ng,,Cold Email,Contacted,Yes,,,
