Company Name,Industry,Email Addresses,Phone,Text,Proposal Status,Contact Error ,Contact Person,Current Customer Feedback,Contact Title,Email Pattern,Reminder Call Status ,Reminder Call Note
Mshel Homes,Real Estate,-,+234 807 491 8900,,Sent,,Barka Mshelia,,CEO,,Called,
Bilaad Realty,Real Estate,"mailto:info@bilaadnigeria.com
aliyu@mailto:info@bilaadnigeria.com not available
aliyu.aliyu@mailto:info@bilaadnigeria.com",+234 700 222 2111,,Sent,,Aliyu Aliyu,,CEO,,Not Available,
Lead Property Mall,Real Estate,"admin@leadpropertymall.com
info@leadpropertymall.com",+234 802 056 5929,,Sent,,-,,-,,Not Available,saying where disturbing him
DITTO GROUP,Real Estate,"mailto:dittogrouppng@gmail.com
bolajiabayomi@gmail.com
abayomibolaji@gmail.com",tel:+2348175008943tel:+2348091331943 - switched off,,Sent,,Engr. Bolaji Abayomi,,CEO,,Could Not Reach Stakeholder,
Double J Properties,Real Estate,mailto:info@doublejnigeria.com,+234 913 000 4806,,Sent,,-,,-,,Could Not Reach Stakeholder,
Rotimi Olu & Co,Real Estate,"mailto:info@rotimioluandco.com
cosmas@mailto:info@rotimioluandco.com
sunday@mailto:info@rotimioluandco.com
olugengacollins@mailto:info@rotimioluandco.com","0805 3999 228 
090 9446 3067",,Sent,,Cosmas Mbarga,,CAO,,Could Not Reach Stakeholder,call back - meeting  still needs to proceed- vivian 
A.A Gulak & Co1,Real Estate,-,https://www.google.com/search?q=A.A+Gulak+%26+Co&oq=A.A+Gulak+%26+Co&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRigATIHCAQQIRiPAjIHCAUQIRiPAtIBCDEyNjNqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8#,,Sent,,-,,-,,Called,
The MLS Properties,Real Estate,"mailto:office@themlsproperties.com
friday.ogbagiri@themlsproperties.com
purity.ighodaro@themlsproperties.com",070-561-44444,,Sent,,-,,-,,Not Available,
Ayeye & Co,Real Estate,"mailto:kubwa@ayeyeproperties.co
lugbe@ayeyeproperties.com
victor@ayeyeproperties.com
ayeye@ayeyeproperties.com
victorayeye@ayeyeproperties.com",+234 803 354 3027,,Sent,,Victor Ayeye,,CEO,,Called,
Dalema supermarket ,Supermarket,,https://www.google.com/search?q=dalema+supermarket+abuja&sca_esv=0c1974b7edb75b1d&sxsrf=ANbL-n6Zly3Satq1h1BJC-tW7r7sROHgCg%3A1769772145936&ei=cZR8aavyOKOLhbIP86fhiQ8&gs_ssp=eJzj4tVP1zc0TMvNzcsqyDA2YLRSMagwNDBJNUgyt0xMTUkxtjBIsTKosDSxSDJJNjdNMwRKpSZ5SaQk5qTmJioUlxakFuUmFmWnligkJpVmJQIAqDIY8Q&oq=Dalema+Supermarket+&gs_lp=Egxnd3Mtd2l6LXNlcnAiE0RhbGVtYSBTdXBlcm1hcmtldCAqAggAMhAQLhiABBhDGMcBGIoFGK8BMgUQABiABDIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjICECZIzCZQiQ1YiQ1wAXgBkAEAmAHoAaAB6AGqAQMyLTG4AQHIAQD4AQGYAgKgAoECwgIKEAAYsAMY1gQYR5gDAIgGAZAGBZIHBTEuMC4xoAemCbIHAzItMbgH9wHCBwUyLTEuMcgHFIAIAA&sclient=gws-wiz-serp#,,Not sent,,,,,,Called,
"Kanti Plus Supermarket, Kaduna",Supermarket,,9075555423,,Sent,,,,,,Called,
Sahad stores ,Supermarket,"mailto:sahadstoresltdarea11@gmail.com.
","https://www.google.com/search?q=sahad+stores+abuja&sca_esv=0c1974b7edb75b1d&sxsrf=ANbL-n5pBhfsY5oE6yIKo52cFybQDi3OTA%3A1769772188089&ei=nJR8adiVBYe7hbIP8tCg4Q4&llpgabe=CggvbS8wZm54dw&oq=Sahad+s&gs_lp=Egxnd3Mtd2l6LXNlcnAiB1NhaGFkIHMqAggAMgoQABiABBgUGIcCMgoQABiABBhDGIoFMgUQABiABDILEAAYgAQYkQIYigUyChAAGIAEGBQYhwIyBRAAGIAEMgUQABiABDILEC4YgAQYxwEYrwEyCxAuGIAEGMcBGK8BMgoQABiABBhDGIoFSNsuUI8JWPMXcAN4AZABAJgB4wGgAeILqgEDMi03uAEByAEA-AEBmAIKoALSDMICChAAGLADGNYEGEfCAgQQIxgnwgIKECMYgAQYJxiKBcICCxAAGIAEGLEDGIMBwgIQEC4YgAQYQxjHARiKBRivAcICEBAuGIAEGLEDGIMBGBQYhwLCAhAQABiABBixAxiDARgUGIcCwgIOEC4YgAQYsQMY0QMYxwHCAhYQLhiABBixAxjRAxhDGIMBGMcBGIoFwgIFEC4YgATCAhAQABiABBixAxhDGIMBGIoFwgIKEC4YgAQYQxiKBcICEBAuGIAEGBQYxwEYhwIYrwGYAwCIBgGQBgWSBwUzLjAuN6AH_3GyBwMyLTe4B7UMwgcFMi00LjbIB1qACAA&sclient=gws-wiz-serp&lqi=ChJzYWhhZCBzdG9yZXMgYWJ1amFIve-1xOWAgIAIWh4QABABGAAYARgCIhJzYWhhZCBzdG9yZXMgYWJ1amGSAQ9zaG9wcGluZ19jZW50ZXI#
+234 700 007 2423",,Sent,Incorrect Number,,,,,Called,
4u supermarket ,Supermarket,,"https://www.google.com/search?q=%24U+Supermarket&sca_esv=0c1974b7edb75b1d&sxsrf=ANbL-n7Yj4-xPsc7vkATtfzEy09sKNpgTw%3A1769772251394&ei=25R8afTnF4G6hbIPkLWTUQ&ved=0ahUKEwi0wYKzk7OSAxUBXUEAHZDaJAoQ4dUDCBE&uact=5&oq=%24U+Supermarket&gs_lp=Egxnd3Mtd2l6LXNlcnAiDiRVIFN1cGVybWFya2V0MgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMggQABgWGAoYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkiNMlCyDViLL3AEeAGQAQCYAa0CoAGFG6oBCDAuMi4xMi4xuAEDyAEA-AEBmAIToALIHcICChAAGLADGNYEGEfCAg0QABiABBiwAxhDGIoFwgIIEAAYgAQYsQPCAgUQLhiABMICBRAAGIAEwgIGEAAYDRgemAMAiAYBkAYMkgcINC4wLjE0LjGgB6d0sgcGMi0xNC4xuAf9HMIHBjMtMTguMcgHjQKACAA&sclient=gws-wiz-serp&lqi=Cg4kVSBTdXBlcm1hcmtldCIDiAEBSMXkpL3lgICACFoWEAAQARgBIg4kdSBzdXBlcm1hcmtldJIBC3N1cGVybWFya2V0mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQTVc4emRWZDNFQUX6AQQIABAQ#
https://www.google.com/search?q=4u+supermarket+gwarinpa&sca_esv=0c1974b7edb75b1d&sxsrf=ANbL-n7Pv3DXAeADVN3MhnacRY1-PRPXag%3A1769772578760&ei=IpZ8aeGSLuawhbIPx8GFIA&oq=%24U+Supermarket&gs_lp=Egxnd3Mtd2l6LXNlcnAiDiRVIFN1cGVybWFya2V0KgIIADIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYRzIKEAAYsAMY1gQYR0iIFFAAWABwBHgAkAEBmAHOAaABzgGqAQMyLTG4AQHIAQCYAgSgAiqYAwCIBgGQBgiSBwE0oAfyBLIHALgHAMIHBTItMy4xyAchgAgA&sclient=gws-wiz-serp#",,Sent,,,,,,Called,
Gadzama and Sons,Supermarket,,+234 913 091 9481,,Not sent,Incorrect Number,,,,,Not Available,
Dialogue pharmacy,Pharmacy,,"https://www.google.com/search?q=Dialogue+pharmacy&oq=Dialogue+pharmacy&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDEwOTJqMGo3qAIIsAIB&sourceid=chrome&ie=UTF-8&lqi=ChFEaWFsb2d1ZSBwaGFybWFjeUj_uJ6e8ayAgAhaGxAAEAEYABgBIhFkaWFsb2d1ZSBwaGFybWFjeZIBCHBoYXJtYWN5#
https://www.google.com/search?q=Dialogue+pharmacy&oq=Dialogue+pharmacy&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDEwOTJqMGo3qAIIsAIB&sourceid=chrome&ie=UTF-8&lqi=ChFEaWFsb2d1ZSBwaGFybWFjeUiA9uuvlbCAgAhaGxAAEAEYABgBIhFkaWFsb2d1ZSBwaGFybWFjeZIBCHBoYXJtYWN5#
https://www.google.com/search?q=Dialogue+pharmacy&oq=Dialogue+pharmacy&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDEwOTJqMGo3qAIIsAIB&sourceid=chrome&ie=UTF-8&lqi=ChFEaWFsb2d1ZSBwaGFybWFjeVoTIhFkaWFsb2d1ZSBwaGFybWFjeZIBCHBoYXJtYWN5#
0912 678 3573",,Sent,,,,,,Called,call back
Lotusmart Supermarket,Supermarket,mailto:lotusmartnig@gmail.com,,,Sent,,Khaidara Aliyu Sa'i,,,,Incorrect Number,
Dia city ,Supermarket,,+234 803 322 6652,,Sent,,Abdullah Shau'ibu Bello,,,,Called,call back - meeting  still needs to proceed
Costcutter Nigeria,Supermarket,,https://www.google.com/search?q=Costcutter+Nigeria&sca_esv=d38753b02e36b910&sxsrf=ANbL-n5TYWB4zd7L7uHRbhQdaogiJehbGA%3A1769853517786&ei=TdJ9afPZL4K6hbIP4LTVyQI&ved=0ahUKEwiztO2RwrWSAxUCXUEAHWBaNSkQ4dUDCBE&uact=5&oq=Costcutter+Nigeria&gs_lp=Egxnd3Mtd2l6LXNlcnAiEkNvc3RjdXR0ZXIgTmlnZXJpYTIFEAAYgAQyAhAmMgIQJjILEAAYgAQYhgMYigUyCxAAGIAEGIYDGIoFMgsQABiABBiGAxiKBTILEAAYgAQYhgMYigUyCBAAGKIEGIkFMggQABiABBiiBEijD1DJCFjJCHAEeAGQAQCYAc4CoAHOAqoBAzMtMbgBA8gBAPgBAvgBAZgCBaACggPCAgoQABiwAxjWBBhHwgINEAAYgAQYsAMYQxiKBZgDAIgGAZAGDJIHBTQuMy0xoAfKBbIHAzMtMbgH2ALCBwUyLTIuM8gHK4AIAA&sclient=gws-wiz-serp&lqi=ChJDb3N0Y3V0dGVyIE5pZ2VyaWEiA4gBAUjwh5Tn-q-AgAhaGBAAGAAiEmNvc3RjdXR0ZXIgbmlnZXJpYZIBC3N1cGVybWFya2V0#,,Sent,,,,,,Called,call back -lucy -monday
Prince Ebeano ,Supermarket,,"07013477368
https://www.google.com/search?q=Prince+Ebeano&sca_esv=d38753b02e36b910&sxsrf=ANbL-n4PsrsUcco7cwmKlF9zWEam8ecMZA%3A1769853591150&ei=l9J9aenxCIvNhbIP5NK_mQY&ved=0ahUKEwipmeu0wrWSAxWLZkEAHWTpL2MQ4dUDCBE&uact=5&oq=Prince+Ebeano&gs_lp=Egxnd3Mtd2l6LXNlcnAiDVByaW5jZSBFYmVhbm8yChAAGIAEGBQYhwIyCxAAGIAEGJECGIoFMgsQLhiABBjHARivATILEC4YgAQYxwEYrwEyCxAAGIAEGJECGIoFMgUQABiABDILEAAYgAQYkQIYigUyDhAAGIAEGJECGMkDGIoFMgUQABiABDIFEAAYgARIyxRQ7QpYxBRwA3gBkAEAmAHyAaAB8gGqAQMyLTG4AQPIAQD4AQL4AQGYAgSgAqICwgIKEAAYsAMY1gQYR5gDAIgGAZAGA5IHBTMuMC4xoAemDrIHAzItMbgHiQLCBwcyLTIuMS4xyAcmgAgA&sclient=gws-wiz-serp&lqi=Cg1QcmluY2UgRWJlYW5vIgOIAQFIteWg_oqtgIAIWh8QABABGAAYASINcHJpbmNlIGViZWFubyoGCAIQABABkgENZ3JvY2VyeV9zdG9yZQ#
",,Sent,Incorrect Number,,,,,Called,
Tibilon Construction Ltd,Construction,"info@tibilonconstruction.com.ng
tochukwu@tibilonconstruction.com.ng",https://www.google.com/search?q=Tibilon+Construction+Ltd&sca_esv=d38753b02e36b910&sxsrf=ANbL-n7NkIfDs7R7WiS-dHv0Y5WPcieGkA%3A1769853702968&ei=BtN9afPpOsSjhbIP17yEsQI&ved=0ahUKEwjzhJTqwrWSAxXEUUEAHVceISYQ4dUDCBE&uact=5&oq=Tibilon+Construction+Ltd&gs_lp=Egxnd3Mtd2l6LXNlcnAiGFRpYmlsb24gQ29uc3RydWN0aW9uIEx0ZDICECYyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogQyCBAAGKIEGIkFMgUQABjvBUjAEFD3CFj3CHADeAGQAQCYAfkBoAH5AaoBAzItMbgBA8gBAPgBAvgBAZgCBKACpQLCAgoQABiwAxjWBBhHwgINEAAYgAQYsAMYQxiKBcICExAuGIAEGLADGEMYxwEYigUYrwGYAwCIBgGQBgqSBwUzLjAuMaAHqAOyBwMyLTG4B4UCwgcFMi0xLjPIByCACAA&sclient=gws-wiz-serp#,,Sent,,Tochukwu Nnamoko,,CEO,,Incorrect Number,
Spitze Construction Ltd,Construction,info@spitzeconstruction.com,4.69809E+12,,Sent,Incorrect Email,Arc. Abubakar Iliyasu,,CEO,,Called,call back
Kouris Construction Nig. Ltd.,Construction,info@kourisconstruction.com,,,Sent,,,,,,Incorrect Number,
Acuspare Projects & Engineering Services Limited,Construction,info@acuspare.com,2.34706E+12,,Sent,,,,,,Called,
Glides Contractors Ltd,Construction,mailto: glidescontractors@gmail.com,tel:0806 168 4614,,Sent,,,,,,Called,
ARFO Construction Company Nigeria Ltd,Construction,mailto:info@arfoccn.com,https://www.google.com/search?q=ARFO+Construction+Company+Nigeria+Ltd&oq=ARFO+Construction+Company+Nigeria+Ltd&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgoIARAAGIAEGKIEMgoIAhAAGIAEGKIEMgoIAxAAGIAEGKIEMgoIBBAAGIAEGKIEMgoIBRAAGIAEGKIE0gEHODM4ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8&lqi=CiVBUkZPIENvbnN0cnVjdGlvbiBDb21wYW55IE5pZ2VyaWEgTHRkSOGU1qmVloCACFo5EAAQARACEAQYABgBGAIYAxgEIiVhcmZvIGNvbnN0cnVjdGlvbiBjb21wYW55IG5pZ2VyaWEgbHRkkgEUY29uc3RydWN0aW9uX2NvbXBhbnk#,,Sent,,,,,,Called,
Embee & Partners Nigeria Limited,Construction,,https://www.google.com/search?q=Embee+%26+Partners+Nigeria+Limited&oq=Embee+%26+Partners+Nigeria+Limited&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEIMTAxMWowajSoAgCwAgE&sourceid=chrome&ie=UTF-8&lqi=CiBFbWJlZSAmIFBhcnRuZXJzIE5pZ2VyaWEgTGltaXRlZFoiIiBlbWJlZSAmIHBhcnRuZXJzIG5pZ2VyaWEgbGltaXRlZJIBDmNpdmlsX2VuZ2luZWVy#,,Sent,,,,,,Available to Proceed,
Ecomaxx Engineering Projects Ltd,Construction,,https://www.google.com/search?q=Ecomaxx+Engineering+Projects+Ltd&oq=Ecomaxx+Engineering+Projects+Ltd&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yDQgCEAAYhgMYgAQYigUyDQgDEAAYhgMYgAQYigUyDQgEEAAYhgMYgAQYigUyCggFEAAYgAQYogQyCggGEAAYgAQYogQyCggHEAAYgAQYogQyBwgIEAAY7wUyBwgJEAAY7wXSAQgzNzQ0ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#,,Not sent,Incorrect Number,,,,,Called,
Mekahog Group Limited,Construction,,"+234 9 290 2686
+234 9 290 6464",,Not sent,Incorrect Number,,,,,Incorrect Number,
Enerco Nigeria Limited,Construction,mailto:info@enerco.net,,,Sent,,,,,,Incorrect Number,
Atlas Petroleum International,Oil and Gas,,"+23408051514455
+234 812 7400801",,Not sent,Incorrect Number,,,,,Called,
NIQ OIL AND GAS LIMITED,Oil and Gas,"mailto:admin@niqong.com
info@niqong.com",tel:+2349033058380,,Sent,Incorrect Number,,,,,Not Available,
Nigerian Gas Company,Oil and Gas,,,,Not sent,,,,,,Incorrect Number,
Gas Aggregator Company Nigeria LTD/GTE,Oil and Gas,,,,Not sent,,,,,,Incorrect Number,
9-Ber oil & Gas limited,Oil and Gas,mailto:beroilltd@gmail.com,https://www.google.com/search?q=ber+oil+%26+gas+limited&oq=Ber+Oil+%26+Gas+limited&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyDQgCEAAYhgMYgAQYigUyCggDEAAYgAQYogQyBwgEEAAY7wUyCggFEAAYogQYiQXSAQg4MzczajBqOagCALACAQ&sourceid=chrome&ie=UTF-8#,,Sent,,,,,,Called,call back - meeting  still needs to proceed-proposal whatsapp
Rexbridge Oil & Gas Nigeria Limited,Oil and Gas,,0703 095 6396,,Not sent,Incorrect Email,,,,,Called,
Oceangate Oil and Gas Limited,Oil and Gas,,0909 996 6648,,Not sent,Incorrect Number,,,,,Called,
Oilworld Limited,Oil and Gas,,,,Not sent,,,,,,Incorrect Number,
Agri-Connect Hub,Agriculture,,,,Not sent,,,,,,Incorrect Number,
44 Nigerian Army Reference Hospital Kaduna,Healthcare,,,,Not sent,,,,,,Incorrect Number,
Auto SPA Ltd,Automobile,info@autospa.ng,8096999998,,Sent,,,,,,Called,
9-Beji Automobile Nigeria,Automobile,mailto:bejiautomobilenig@gmail.com ,8061598788,,Sent,,,,,,Called,
Automedics Limited,Automobile,info@automedicsafrica.com,8060895618,,Sent,,,,,,Called,call back - meeting  still needs to proceed
Alh Abdulrazak Abdulrauf Motors Nig. Ltd,Automobile,mailto:maryam.olorire@yahoo.com,8023210741,,Sent,,,,,,,
K-Cool Resources Nigeria Ltd,Automobile,mailto:radiomech88@gmail.com,9026247488,,Sent,,,,,,,
Creative Auto Technologies Ltd,Automobile,mailto:creativeautotechnologies@gmail.com,8035959513,,Sent,,,,,,Called,
Rainance Automobile Ltd,Automobile,mailto:rainance.automobile@yahoo.com,8029108945,,Sent,,,,,,,
CarFix Vehicle Repairs,Automobile,hello@carfix.ng,7018999924,,Sent,,,,,,,
http://mechanics.ng/,Automobile,mailto:help@mechanics.ng,0909 561 7002,,Not sent,Incorrect Email,,,,,Not Available,
Annapolis Auto Centre,Automobile,info@annapolisautocentre.com,8101883300,,Sent,,,,,,Called,
9-Auto Rolling Right Ltd,Automobile,autorollingright@gmail.com,7033643670,,Sent,,,,,,Called,wednesday meeting for 10 m- yes -callbacks 
Car Craft Workshop Ltd,Automobile,mailto:info@carcraftworkshop.com,8130341474,,Not sent,Incorrect Email,,,,,Called,
Saffar Automobile Nigeria Ltd,Automobile,mailto:saffarautomobile@gmail.com,8068960123,,Sent,,,,,,Not Available,
9-Al-Mansur Motors Ltd,Automobile,mailto:manirmb@yahoo.com,8032842700,,Sent,,,,,,Called,said i should call back-monsoor
MNL ASAO Motors Ltd,Automobile,mnlasaomotors@gmail.com,8039207783,,Sent,,,,,,Not Available,
ASD Motors Ltd,Automobile,mailto:saidudalhatu@yahoo.co.uk,8033112056,,Sent,,,,,,Called,line didnt go through
Kaura Motors Ltd,Automobile,info@kauralimited.com,8034040174,,Sent,,,,,,Called,
NGS Auto Clinic Centre Ltd,Automobile,"info@ngsautoclinic.com.ng
infongsautoclinic@gmail.com","07037110944
",,Sent,,,,,,Called,cynthia -friday 11am
Patemax Projects Limited,Construction,mailto: info@patemaxprojects.com,"tel:0806 777 1905
tel:09 290 6881",,Not sent,,,,,,,
Nigerian Content Development and Monitoring Board (NCDMB),MDA,"mailto:tahir.aminu@ncdmb.gov.ng
mailto:toluwalase.abikehin@ncdmb.gov.ng
mailto:brilliant.okon@ncdmb.gov.ng
inemotimi.nyananyo@ncdmb.gov.ng
felix.ogbe@ncdmb.gov.ng",,,Sent,,,,,,Called,
https://www.google.com/search?q=National+Drug+Law+Enforcement+Agency&sca_esv=dc45e1216515a3e4&biw=1536&bih=730&aic=0&sxsrf=ANbL-n5UKWwUJDqSl3D8kxNsQJkQX9gn7Q%3A1770114117670&ei=RcyBaZDIKPe2hbIPhuGVuAI&oq=what+are+the+top+mdas+in+government&gs_lp=Egxnd3Mtd2l6LXNlcnAiI3doYXQgYXJlIHRoZSB0b3AgbWRhcyBpbiBnb3Zlcm5tZW50KgIIADIFECEYoAEyBRAhGKABMgUQIRifBUixhQFQniBYxlZwBngBkAEAmAH6AaABqBuqAQYwLjMuMTO4AQHIAQD4AQGYAhKgArQVwgIKEAAYsAMY1gQYR8ICBhAAGAcYHsICCxAAGIAEGIYDGIoFwgIIEAAYgAQYogTCAgUQABjvBcICBRAAGIAEwgIHEAAYgAQYDZgDAIgGAZAGCJIHBjYuMC4xMqAH4UKyBwQyLTEyuAeZFcIHBjAuMTIuNsgHMIAIAA&sclient=gws-wiz-serp&mstk=AUtExfBoZswrrxrKmSmGtsnHaIsO5trVMEfY4FRjBek2wAV0aMMnYFM3L4CNsuxiynHHjiFX3C5Gjv6HSQuaAaUDUWG5AIBJrfEMPp6bixGCT9uVHv5xglhODq9CPSWr3z2Rg791IEP2lfFUEtxwWvclb_O-zMh3LKtVePc42ARW9V1lr86BBVeDjRpIZyiLPorb_jOfQDD_204M1rpfRDb76z9areUnxY0OLuBcGaLmHXozxw&csui=3&ved=2ahUKEwj-j7_4jb2SAxVZbEEAHUIpD4kQgK4QegQIAxAD,MDA,info@ndleahelpline.com.ng,,,Sent,Incorrect Email,,,,,,
