Company Name,Type,Email,Phone,Location,Status,Notes
Deluxe Dental Clinic,Dental,ddorals96@gmail.com,+234 703 349 8294,Gwarinpa,New,
Novacare Dental & Maxillofacial,Dental,info@novacaredentalandmaxillofacial.com,+234 813 355 7279,Garki Area 11,New,
Blanche Dental Clinic Asokoro,Dental,info@blanchedentalclinic.com,09028555222,Asokoro,New,
The Smile Shop Dental,Dental,,+234 916 035 3094,Maitama/Katampe,New,No email
Evening Light Dental Clinic,Dental,eveninglight2006@yahoo.com,+234 803 509 4631,Jabi,New,
Zinary Dental Clinic,Dental,,+234 803 315 8539,Jabi,New,No email
Global Dental Care,Dental,,+234 802 375 4025,Jabi,New,No email
Prime Care Dental Clinic,Dental,,+234 803 875 9966,Apo,New,No email
Ideal Dental Services,Dental,idealdentalservices@gmail.com,+234 708 849 5218,CBD,New,
City Smile Dental / Smile Plug,Dental,info@smileplug.com.ng,+234 916 775 8574,Wuse,New,
Zoom36 Dental Care,Dental,abj@zoom36dentalcare.com,0908 020 5000,Utako,New,
Pure Dental Care,Dental,isaacibrahim722@gmail.com,+234 816 241 5760,Utako,New,
Cedarcrest Hospitals Dental,Dental,customerservicecentre@cedarcresthospitals.com,+234 700 3030 4040,Apo,New,
Venus Medicare Dental,Dental,enquiries@venusmedicare.com,+234 700 3333 0000,Wuse 2,New,
Imani Aesthetic & Dental,Dental,,+234 818 223 3446,Gwarinpa,New,No email
Royal Dental & Maxillofacial,Dental,,+234 803 289 4396,Mararaba,New,No email
Urban Dentistry,Dental,,+234 806 088 9663,Kubwa,New,No email
Friendly Dental Clinic,Dental,,+234 9 234 7708,Garki Area 8,New,No email
Florida Eye Clinic,Eye,info@fecnigeria.com,08038449400,Wuse Zone 7,New,
Atlanta Eye Clinic,Eye,atlantaeyeclinic@gmail.com,08131140366,Utako,New,
Alpha Zone Eye Clinic,Eye,alphaazone@yahoo.com,+234 903 526 2100,Garki II,New,
Vetta Eye Clinic,Eye,,+234 906 372 6337,Gwarinpa,New,No email
Venus Medicare Eye Care,Eye,inquiries@venusmedicare.com,+234 700 3333 0000,Wuse 2,New,
Daystar Eye Clinic,Eye,doctor@daystareyeclinic.ng,+234 808 505 194,Utako,New,
Supreme Vision Eye Clinic,Eye,supremevision2004@gmail.com,+234 805 897 1009,Wuse 2,New,
Omnivision Eye Clinic,Eye,info@omnivision-ltd.com,0805 526 6654,Utako,New,
Diamond Eye Clinic,Eye,,0803 311 4109,Garki Area 10,New,No email
Cypress Eye Centre,Eye,info@cypresseyecentre.com,07026350583,Garki Area 3,New,Also Maitama branch
De-Lens Ophthalmics,Eye,,0909 349 9944,Wuse Zone 4,New,No email - has website form
Locus Eye Clinic,Eye,,0812 089 2898,Wuse II,New,Also Jabi branch - no email
Leadway Eye Clinic,Eye,info@leadwayeyeclinic.com,0806 575 8585,Gwarinpa,New,3 branches
Central Vision Eye Clinic,Eye,centralvisioneyeclinic@gmail.com,0706 510 8145,Utako,New,
Thelish Eye Centre,Eye,,08081111121,Garki,New,No email - has website
Eye Foundation Hospital Abuja,Eye,,0815 088 4491,Apo,New,No email
Tulsi Chanrai Foundation Eye Hospital,Eye,,+234 700 077 0770,Game Village,New,No email
Skipper Eye-Q Hospital,Eye,,01-700 4924,Gwarinpa,New,No email
Just Vision Eye Centre,Eye,justvisioneyeclinicabj@gmail.com,,Life Camp,New,No phone
Cedarcrest Hospitals Eye,Eye,customerservicecentre@cedarcresthospitals.com,+234 700 3030 4040,Apo,New,
Nizamiye Hospital Ophthalmology,Eye,info@nizamiye.ng,+234 805 633 9444,Jabi-Airport Road,New,
Garki Hospital Ophthalmology,Eye,info@garkihospital.com,08095698080,Garki,New,
Prime Vision Eye Clinic,Eye,,+234 908 016 2140,Wuse 2,New,No email
Ghan Dental Clinics,Dental,hannahnwobodo4@gmail.com,+234 903 977 4383,Lugbe,New,
Gloxygen Dental Care,Dental,gloxygendental@gmail.com,+234 703 591 8976,Lugbe,New,
Glow Dental Clinic,Dental,,+234 803 634 5839,Kubwa,New,
Faces n Braces Dental,Dental,contact@facesnbraces.com,+234 803 500 1717,Utako,New,
Orofacial Dental Practice,Dental,,+234 705 877 3887,CBD / Apo / Gwarinpa,New,
Nene Dental Centre,Dental,info@nenedental.ng,+234 770 614 7954,Wuse Zone 7,New,
Innovative Dental Haven,Dental,info@innovativedentalhaven.ng,+234 706 659 7858,Kuje,New,
Nizamiye Hospital Dental,Dental,info@nizamiye.ng,+234 816 666 6023,Life Camp,New,
Trust Charitos Hospital Dental,Dental,enquiries@tch.ng,+234 818 486 5344,Jabi,New,
Ivory Dental Care,Dental,info@ivorydentalcarecenter.com,+234 809 190 0008,Garki Area 11,New,
Calens Dental Clinics,Dental,,+234 806 072 1798,Wuse 2,New,
Olive Vine Dental Clinic,Dental,,+234 805 335 1465,Garki,New,
Largent Dental Clinic,Dental,,+234 803 901 3000,Maitama - Hilton,New,
Smile Well Dental Clinic,Dental,,+234 809 124 6942,Nyanya,New,
Smilehub Family Dental,Dental,,+234 908 527 3784,Wuse 2,New,
ACNHA Dental Clinic,Dental,info@acnha.org.ng,+234 817 131 2345,Asokoro,New,
National Hospital Dental Dept,Dental,contact@nationalhospital.gov.ng,+234 803 580 8004,CBD Garki,New,
Dental Health Clinic,Dental,,+234 706 464 1893,Wuse Zone 1,New,
Barcruse Vision Eye Clinic,Eye,barcruseoutpatientclinic@gmail.com,09130564930,Wuse 2,New,
Havilah Eye Hospital,Eye,,+234 806 029 7605,Gwarinpa,New,
Royal Eye Hospital,Eye,,+234 813 883 2696,Life Camp,New,
Eyemasters Eye Clinic,Eye,,09095755023,Kubwa,New,
Vision Experts Eye Clinic,Eye,,0809 129 7611,Garki,New,
Opticlass Eyewear & Eye Clinic,Eye,contact@opticlasseyewear.com,+234 912 449 6533,Gwarinpa,New,
Sholly Optical,Eye,,08118856248,Multiple - Garki / Jabi / Wuse 2,New,
Smiley Optical Services,Eye,,+234 805 172 8840,Abuja,New,
Maxings Optical Eye Clinic,Eye,,0807 346 6555,Garki Area 1,New,
Army Command Hospital Eye Clinic,Eye,info@acnha.org.ng,+234 817 131 2345,Asokoro,New,
Maxi Vision Hospital,Eye,info@maxivisioneyehospital.com,+234 805 481 2306,Abuja,New,
FMC Abuja Dental Dept,Dental,info@fmcabuja.gov.ng,,Jabi,New,Government facility
Zoom Exclusive Dental Utako,Dental,,0701 4141 4878,Utako,New,
Royal Specialist Dental Clinic,Dental,,,Utako,New,No contact found
Family Eye Clinic,Eye,,,Gwarinpa,New,Facebook: familyeyeclinicng
Imperial Vision Eye Clinic,Eye,,,Wuse 2,New,Facebook: Imperial Vision Eye Clinic
Locus Eye Clinic,Eye,,0812 089 2898,Wuse II / Jabi,New,2 branches
